City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,kaspiyskiy,45.3929,47.3707,277.14,81,100,6.08,RU,1707094989
84,bamboo flat,11.7,92.7167,295.2,94,7,0.51,IN,1707094643
85,vilyuysk,63.7553,121.6247,235.93,100,41,0.89,RU,1707094660
86,hermanus,-34.4187,19.2345,293.04,88,20,1.49,ZA,1707094458
87,ushuaia,-54.8,-68.3,292.96,56,75,6.69,AR,1707094535
88,tevriz,57.509,72.4042,263.63,93,100,3.44,RU,1707094992
89,invercargill,-46.4,168.35,294.83,76,91,4.02,NZ,1707094526
90,port mathurin,-19.6833,63.4167,298.96,69,16,5.32,MU,1707094526
91,tavda,58.0425,65.2726,250.76,100,100,1.34,RU,1707094994
92,port lincoln,-34.7333,135.8667,292.33,51,2,7.64,AU,1707094604
93,zabol,32.25,67.25,269.95,62,0,2.44,AF,1707094995
94,college,64.8569,-147.8028,255.26,74,75,0.0,US,1707094431
95,iquique,-20.2208,-70.1431,298.17,72,7,1.04,CL,1707094996
96,cody,44.5263,-109.0565,275.48,86,0,4.63,US,1707094997
97,badger,64.8,-147.5333,255.21,73,20,0.0,US,1707094429
98,kapuskasing,49.4169,-82.4331,271.2,86,0,1.54,CA,1707094621
99,la trinite,14.7376,-60.9629,299.18,83,0,2.06,MQ,1707094999
100,port alfred,-33.5906,26.891,292.69,99,0,1.98,ZA,1707094523
101,khandyga,62.6667,135.6,234.19,98,61,0.58,RU,1707094677
102,bowen,-20.0167,148.2333,302.85,57,100,4.13,AU,1707095001
103,stanley,54.868,-1.6985,283.86,76,75,11.32,GB,1707094306
104,nanning,22.8167,108.3167,284.4,85,98,2.59,CN,1707094807
105,ust'-kulom,61.6864,53.6902,256.49,96,96,3.38,RU,1707095004
106,ancud,-41.8697,-73.8203,287.88,92,0,4.47,CL,1707094557
107,mikhaylovskoye,51.8239,79.7172,267.26,92,100,3.52,RU,1707095005
108,taroa,8.7058,171.2275,300.23,79,28,7.26,MH,1707094665
109,qulsary,46.9531,54.0198,275.3,91,100,7.56,KZ,1707095006
110,ebon,4.582,168.6964,301.13,71,100,8.68,MH,1707095007
111,north bend,43.4065,-124.2243,281.4,76,100,5.14,US,1707095007
112,swift current,50.2834,-107.8014,273.6,100,100,2.06,CA,1707095008
113,bhawanipatna,19.9,83.1667,290.66,81,0,1.67,IN,1707095009
114,zayed city,24.3768,54.589,294.82,65,0,2.57,AE,1707095009
115,praia da vitoria,38.7333,-27.0667,290.29,94,75,6.79,PT,1707094549
116,margate,51.3813,1.3862,283.08,83,36,4.47,GB,1707094607
117,koryazhma,61.3143,47.1691,258.1,96,99,4.0,RU,1707095011
118,geraldton,-28.7667,114.6,298.38,31,5,9.77,AU,1707094666
119,mount isa,-20.7333,139.5,306.02,49,81,8.23,AU,1707094544
120,mora,11.0461,14.1401,292.51,29,38,2.42,CM,1707095013
121,ketchikan,55.3422,-131.6461,277.41,81,0,2.57,US,1707095014
122,fort bragg,35.139,-79.006,282.23,55,0,1.54,US,1707094437
123,encruzilhada do sul,-30.5439,-52.5219,291.64,96,100,2.32,BR,1707095015
124,qaqortoq,60.7167,-46.0333,251.44,67,0,2.57,GL,1707094533
125,aykhal,66.0,111.5,246.29,99,100,3.32,RU,1707094726
126,fada,9.5667,8.3,293.86,20,100,4.03,NG,1707095017
127,east london,-33.0153,27.9116,295.72,75,0,2.37,ZA,1707094756
128,trairi,-3.2778,-39.2689,300.52,76,17,5.07,BR,1707095018
129,el porvenir,13.7617,-87.3458,298.78,92,35,0.82,HN,1707095019
130,saipan,15.1355,145.701,302.54,54,40,9.77,MP,1707094526
131,carnarvon,-24.8667,113.6333,298.75,42,4,9.93,AU,1707094550
132,kapa'a,22.0752,-159.319,299.14,60,20,9.77,US,1707094523
133,yaren,-0.5472,166.916,302.44,76,100,7.48,NR,1707095021
134,uglegorsk,49.0833,142.0333,261.73,76,81,5.58,RU,1707095022
135,tazovsky,67.4667,78.7,257.88,96,100,3.47,RU,1707094542
136,portland,45.5234,-122.6762,285.48,53,75,12.35,US,1707094508
137,berezovyy,51.6667,135.7,256.99,71,3,1.1,RU,1707094664
138,keflavik,64.0049,-22.5624,269.39,68,40,3.6,IS,1707094529
139,dudinka,69.4058,86.1778,256.27,95,100,6.13,RU,1707094654
140,labrador city,52.9463,-66.9114,256.1,85,75,0.0,CA,1707095025
141,khash,28.2211,61.2158,278.84,45,96,0.41,IR,1707095026
142,takoradi,4.8845,-1.7554,299.55,83,78,2.1,GH,1707095026
143,port blair,11.6667,92.75,295.17,94,8,0.51,IN,1707094676
144,puerto ayora,-0.7393,-90.3518,299.57,88,63,1.34,EC,1707094527
145,nova sintra,14.8667,-24.7167,294.42,69,0,5.64,CV,1707094517
146,arraial do cabo,-22.9661,-42.0278,298.48,89,100,7.46,BR,1707094551
147,mwene-ditu,-7.0,23.45,292.87,97,100,1.45,CD,1707094766
148,xinglongshan,43.9561,125.4661,252.01,77,100,1.0,CN,1707095030
149,alekseyevka,50.6309,38.6903,273.67,87,100,5.19,RU,1707095030
150,freetown,8.484,-13.2299,300.99,78,45,5.14,SL,1707094761
151,el calafate,-50.3408,-72.2768,290.61,52,15,8.22,AR,1707094592
152,nguigmi,14.2495,13.1092,291.25,22,17,7.2,NE,1707095032
153,susanville,40.4163,-120.653,276.38,94,100,3.6,US,1707095033
154,antsiranana,-12.2787,49.2917,297.84,89,100,1.56,MG,1707095033
155,severo-yeniseyskiy,60.3725,93.0408,258.47,97,100,1.79,RU,1707094666
156,cudillero,43.5622,-6.1459,283.65,93,0,2.57,ES,1707095035
157,west island,-12.1568,96.8225,298.14,94,100,4.63,CC,1707094544
158,nar'yan-mar,67.6713,53.087,250.43,93,84,1.79,RU,1707094532
159,kununurra,-15.7667,128.7333,305.14,70,40,4.12,AU,1707094858
160,midvagur,62.0511,-7.1939,272.61,69,85,0.51,FO,1707094885
161,zhangye,38.9342,100.4517,267.41,57,0,0.83,CN,1707095037
162,shenjiamen,29.9576,122.298,276.82,80,78,13.81,CN,1707094547
163,birine,35.635,3.225,282.44,53,0,1.14,DZ,1707095039
164,simpang,-1.2667,104.0833,299.63,87,100,1.24,ID,1707095039
165,vilyuchinsk,52.9306,158.4028,265.3,66,100,2.5,RU,1707094274
166,itaueira,-7.6033,-43.0256,300.3,52,99,2.44,BR,1707095040
167,holualoa,19.6228,-155.9522,297.06,65,75,4.63,US,1707094733
168,afaahiti,-17.75,-149.2833,301.08,74,100,6.4,PF,1707094525
169,udachny,66.4167,112.4,241.17,98,85,2.08,RU,1707094591
170,arar,30.9753,41.0381,281.16,57,0,3.09,SA,1707094612
171,yelizovo,53.1873,158.3805,265.23,52,75,3.13,RU,1707095044
172,san luis de la loma,17.2706,-100.8939,297.47,71,0,4.75,MX,1707094781
173,georgetown,5.4112,100.3354,300.9,87,20,1.54,MY,1707094545
174,itaituba,-4.2761,-55.9836,299.36,82,100,0.73,BR,1707094929
175,punta arenas,-53.15,-70.9167,295.21,40,75,7.2,CL,1707094530
176,wailua homesteads,22.0669,-159.378,298.39,61,20,9.77,US,1707094593
177,gunnison,38.7,-107.0673,262.62,93,41,0.55,US,1707095048
178,talnakh,69.4865,88.3972,256.04,96,100,3.91,RU,1707094541
179,valparaiso,-33.0393,-71.6273,291.95,77,0,2.57,CL,1707094316
180,changuinola,9.4333,-82.5167,296.45,88,89,0.45,PA,1707095050
181,sarakhs,36.5449,61.1577,279.17,51,70,5.18,IR,1707094941
182,berriane,32.8265,3.7669,282.17,48,0,1.59,DZ,1707094900
183,puerto deseado,-47.7503,-65.8938,293.18,53,3,12.45,AR,1707094897
184,svetlyy,54.675,20.1347,279.46,94,100,11.21,RU,1707095052
185,taulaga,-11.0553,-171.0883,302.13,79,99,11.3,AS,1707095053
186,chinde,26.8418,88.0763,282.32,64,95,0.71,NP,1707095054
187,kuhdasht,33.535,47.6061,275.75,70,82,1.12,IR,1707095054
188,carolina beach,34.0352,-77.8936,283.16,69,100,7.6,US,1707094799
189,manokwari,-0.8667,134.0833,301.03,73,100,2.38,ID,1707095056
190,winnemucca,40.973,-117.7357,275.53,66,100,2.83,US,1707095056
191,arish,31.1316,33.7984,286.7,71,17,4.44,EG,1707095057
192,biltine,14.5333,20.9167,293.07,17,99,7.25,TD,1707095058
193,buchanan,5.8808,-10.0467,299.48,89,98,1.07,LR,1707095058
194,morant bay,17.8815,-76.4093,300.94,86,20,4.36,JM,1707095059
195,kill devil hills,36.0307,-75.676,279.81,77,0,2.57,US,1707094604
196,margaret river,-33.95,115.0667,290.96,61,25,3.18,AU,1707094516
197,tangalle,6.024,80.7911,297.24,89,82,4.64,LK,1707094797
198,baruun-urt,46.6806,113.2792,258.18,84,100,3.03,MN,1707094878
199,mahina,-17.5065,-149.489,302.02,70,75,7.2,PF,1707094719
200,nelson bay,-32.7167,152.15,309.18,67,100,2.68,AU,1707095062
201,san antonio de pale,-1.4014,5.6325,300.81,79,63,2.51,GQ,1707094547
202,tadine,-21.55,167.8833,300.45,87,100,8.4,NC,1707095064
203,pechora,65.1472,57.2244,244.74,100,76,0.89,RU,1707095064
204,ust-nera,64.5667,143.2,246.21,92,100,2.07,RU,1707094544
205,chazuta,-6.5742,-76.1367,299.62,97,89,1.01,PE,1707095065
206,mar del plata,-38.0023,-57.5575,290.9,69,0,7.15,AR,1707094761
207,san mariano,7.5,126.0,298.46,81,23,2.0,PH,1707095066
208,vorgashor,67.5833,63.95,255.54,95,100,0.96,RU,1707094607
209,isla,15.8939,120.3036,300.79,59,5,2.65,PH,1707095068
210,tynda,55.1667,124.7167,243.54,97,18,0.81,RU,1707095068
211,puerto lopez,4.0845,-72.956,296.47,94,100,1.82,CO,1707095069
212,hami,42.8,93.45,266.84,66,9,2.03,CN,1707094738
213,sorong,-0.8833,131.25,300.61,80,100,3.01,ID,1707095071
214,saint-leu,-21.15,55.2833,294.63,69,30,3.17,RE,1707095071
215,silver city,32.7701,-108.2803,282.13,54,0,4.63,US,1707095072
216,lihue,21.9789,-159.3672,298.73,60,20,9.77,US,1707094516
217,suva,-18.1416,178.4415,303.86,62,40,3.6,FJ,1707094414
218,lagunillas,10.1301,-71.2595,301.06,72,95,2.06,VE,1707095074
219,kirakira,-10.4544,161.9205,302.14,80,99,6.99,SB,1707095075
220,chontalpa,17.7,-93.5167,295.75,93,0,2.1,MX,1707095076
221,waddan,29.1614,16.139,282.55,65,2,0.93,LY,1707094639
222,laojunmiao,39.8333,97.7333,264.54,51,0,1.01,CN,1707094609
223,harper,4.375,-7.7169,300.01,83,97,2.17,LR,1707094536
224,san julian,21.0167,-102.1667,288.29,15,0,1.21,MX,1707095079
225,arroio grande,-32.2375,-53.0869,295.04,82,70,4.28,BR,1707095079
226,mont-dore,-22.2833,166.5833,299.14,93,100,4.79,NC,1707094789
227,shortandy,51.7006,70.9994,265.35,94,100,6.14,KZ,1707095081
228,spring creek,40.7266,-115.5859,273.87,80,100,3.3,US,1707095082
229,vallet,47.1667,-1.2667,281.86,94,75,1.15,FR,1707095083
230,dhidhdhoo,6.8833,73.1,300.56,78,94,4.07,MV,1707095083
231,galesong,-5.3166,119.3661,297.16,94,100,4.71,ID,1707095084
232,howrah,22.5892,88.3103,292.15,82,20,0.0,IN,1707095085
233,carloforte,39.145,8.3058,287.13,82,6,4.28,IT,1707095085
234,vadso,70.0744,29.7487,268.24,80,100,8.23,NO,1707094552
235,greymouth,-42.4667,171.2,292.73,65,5,3.18,NZ,1707094785
236,vila franca do campo,37.7167,-25.4333,291.42,99,72,3.93,PT,1707094641
237,jamestown,42.097,-79.2353,272.95,82,0,3.6,US,1707094528
238,ribeira brava,32.65,-17.0667,293.5,73,100,2.75,PT,1707095088
239,duba-yurt,43.0372,45.7319,269.69,53,100,3.16,RU,1707095088
240,claveria,18.6074,121.0832,300.08,69,0,2.71,PH,1707095089
241,opuwo,-18.0607,13.84,293.77,84,100,2.43,NA,1707094622
242,bomdila,27.25,92.4,273.6,92,99,1.61,IN,1707095090
243,flying fish cove,-10.4217,105.6791,300.97,83,100,3.6,CX,1707094449
244,hamilton,39.1834,-84.5333,281.48,63,0,2.57,US,1707094437
245,barika,35.389,5.3658,283.78,50,0,0.81,DZ,1707095092
246,al jawf,29.5,38.75,282.23,43,6,3.1,SA,1707094718
247,uberlandia,-18.9186,-48.2772,294.71,83,0,2.57,BR,1707095049
248,rotherham,53.4301,-1.3568,284.38,74,100,7.52,GB,1707095093
249,ribeira grande,38.5167,-28.7,290.8,94,100,8.05,PT,1707094432
250,cabo san lucas,22.8909,-109.9124,296.76,68,0,0.45,MX,1707094228
251,avarua,-21.2078,-159.775,302.18,74,40,1.03,CK,1707094516
252,praia,14.9215,-23.5087,295.45,64,0,3.6,CV,1707095095
253,rio grande,-32.035,-52.0986,299.21,87,75,6.31,BR,1707094428
254,bulawayo,-20.15,28.5833,290.99,63,26,2.1,ZW,1707095096
255,kingston,17.997,-76.7936,300.68,84,75,2.57,JM,1707094244
256,san patricio,28.017,-97.5169,295.12,55,0,4.04,US,1707094544
257,dawson creek,55.7666,-120.2362,271.95,59,0,3.6,CA,1707094670
